2018-03-16 15:43:19.609 INFO  DefaultFactory Logging to 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\App_Data\' with level Info
2018-03-16 15:43:19.947 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 11 April 2019

2018-03-16 15:43:20.954 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2018-03-16 15:43:21.435 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2018-03-16 15:43:23.301 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2018-03-16 15:43:23.376 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.380 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.388 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.390 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.394 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.398 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.403 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.406 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.410 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.413 WARN  NServiceBus.QueuePermissions Queue [private$\primeritus.publisher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-16 15:43:23.417 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-16 15:43:23.419 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-16 15:43:23.421 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-16 17:14:03.479 INFO  DefaultFactory Logging to 'E:\OfficeWork\PrimeritusPoC.NServiceBus\Lateetud.NServiceBus.Publisher\App_Data\' with level Info
